code,source_authority,geographic_identifier_nom
5307119,IATTC,EPO
5307120,IATTC,EPO
5307121,IATTC,EPO
5307122,IATTC,EPO
5307123,IATTC,EPO
5307124,IATTC,EPO
5307125,IATTC,EPO
5307126,IATTC,EPO
5307127,IATTC,EPO
5307128,IATTC,EPO
5307129,IATTC,EPO
5307130,IATTC,EPO
5307131,IATTC,EPO
5307132,IATTC,EPO
5307133,IATTC,EPO
5307134,IATTC,EPO
5307135,IATTC,EPO
5307136,IATTC,EPO
5307137,IATTC,EPO
5307138,IATTC,EPO
5307139,IATTC,EPO
5307140,IATTC,EPO
5307141,IATTC,EPO
5307142,IATTC,EPO
5307143,IATTC,EPO
5307144,IATTC,EPO
5307145,IATTC,EPO
5307146,IATTC,EPO
5307147,IATTC,EPO
5307148,IATTC,EPO
5307149,IATTC,EPO
5308000,ICCAT,AT-SE
5308001,ICCAT,AT-SE
5308002,ICCAT,AT-SE
5308003,ICCAT,AT-SE
5308004,ICCAT,AT-SE
5308005,ICCAT,AT-SE
5308006,ICCAT,AT-SE
5308007,ICCAT,AT-SE
5308008,ICCAT,AT-SE
5308009,ICCAT,AT-SE
5308010,ICCAT,AT-SE
5308011,ICCAT,AT-SE
5308012,ICCAT,AT-SE
5308013,ICCAT,AT-SE
5308014,ICCAT,AT-SE
5308015,ICCAT,AT-SE
5308016,ICCAT,AT-SE
5308017,ICCAT,AT-SE
5308018,ICCAT,AT-SE
5308021,ICCAT,AT-SW
5308022,ICCAT,AT-SW
5308023,ICCAT,AT-SW
5308024,ICCAT,AT-SW
5308025,ICCAT,AT-SW
5308026,ICCAT,AT-SW
5308027,ICCAT,AT-SW
5308028,ICCAT,AT-SW
5308029,ICCAT,AT-SW
5308030,ICCAT,AT-SW
5308032,ICCAT,AT-SW
5308033,ICCAT,AT-SW
5308078,IATTC,EPO
5308079,IATTC,EPO
5308080,IATTC,EPO
5308081,IATTC,EPO
5308082,IATTC,EPO
5308083,IATTC,EPO
5308084,IATTC,EPO
5308085,IATTC,EPO
5308086,IATTC,EPO
5308087,IATTC,EPO
5308088,IATTC,EPO
5308089,IATTC,EPO
5308090,IATTC,EPO
5308091,IATTC,EPO
5308092,IATTC,EPO
5308093,IATTC,EPO
5308094,IATTC,EPO
5308095,IATTC,EPO
5308096,IATTC,EPO
5308097,IATTC,EPO
5308098,IATTC,EPO
5308099,IATTC,EPO
5308100,IATTC,EPO
5308101,IATTC,EPO
5308102,IATTC,EPO
5308103,IATTC,EPO
5308104,IATTC,EPO
5308105,IATTC,EPO
5308106,IATTC,EPO
5308107,IATTC,EPO
5308108,IATTC,EPO
5308109,IATTC,EPO
5308110,IATTC,EPO
5308111,IATTC,EPO
5308112,IATTC,EPO
5308113,IATTC,EPO
5308114,IATTC,EPO
5308115,IATTC,EPO
5308116,IATTC,EPO
5308117,IATTC,EPO
5308118,IATTC,EPO
5308119,IATTC,EPO
5308120,IATTC,EPO
5308121,IATTC,EPO
5308122,IATTC,EPO
5308123,IATTC,EPO
5308124,IATTC,EPO
5308125,IATTC,EPO
5308126,IATTC,EPO
5308127,IATTC,EPO
5308128,IATTC,EPO
5308129,IATTC,EPO
5308130,IATTC,EPO
5308131,IATTC,EPO
5308132,IATTC,EPO
5308133,IATTC,EPO
5308134,IATTC,EPO
5308135,IATTC,EPO
5308136,IATTC,EPO
5308137,IATTC,EPO
5308139,IATTC,EPO
5308140,IATTC,EPO
5308141,IATTC,EPO
5308142,IATTC,EPO
5308143,IATTC,EPO
5308144,IATTC,EPO
5308145,IATTC,EPO
5308146,IATTC,EPO
5308147,IATTC,EPO
5308148,IATTC,EPO
5308149,IATTC,EPO
5309000,ICCAT,AT-SE
5309001,ICCAT,AT-SE
5309002,ICCAT,AT-SE
5309003,ICCAT,AT-SE
5309004,ICCAT,AT-SE
5309005,ICCAT,AT-SE
5309006,ICCAT,AT-SE
5309007,ICCAT,AT-SE
5309008,ICCAT,AT-SE
5309009,ICCAT,AT-SE
5309010,ICCAT,AT-SE
5309011,ICCAT,AT-SE
5309012,ICCAT,AT-SE
5309013,ICCAT,AT-SE
5309014,ICCAT,AT-SE
5309015,ICCAT,AT-SE
5309016,ICCAT,AT-SE
5309017,ICCAT,AT-SE
5309018,ICCAT,AT-SE
5309021,ICCAT,AT-SW
5309022,ICCAT,AT-SW
5309023,ICCAT,AT-SW
5309024,ICCAT,AT-SW
5309025,ICCAT,AT-SW
5309026,ICCAT,AT-SW
5309027,ICCAT,AT-SW
5309028,ICCAT,AT-SW
5309029,ICCAT,AT-SW
5309030,ICCAT,AT-SW
5309031,ICCAT,AT-SW
5309078,IATTC,EPO
5309079,IATTC,EPO
5309080,IATTC,EPO
5309081,IATTC,EPO
5309082,IATTC,EPO
5309083,IATTC,EPO
5309084,IATTC,EPO
5309085,IATTC,EPO
5309086,IATTC,EPO
5309087,IATTC,EPO
5309088,IATTC,EPO
5309089,IATTC,EPO
5309090,IATTC,EPO
5309091,IATTC,EPO
5309092,IATTC,EPO
